Nome;Comarca
A-4 - Saída 530;Comarca Metropolitana de Sevilha
A-4 - Saída 532;Comarca Metropolitana de Sevilha
A-4 - Saída 533;Comarca Metropolitana de Sevilha
A-4 - Saída 536;Comarca Metropolitana de Sevilha
A-4 - Saída 553;Comarca Metropolitana de Sevilha
A-483 - Saída 1;El Condado
A-483 - Saída 3;El Condado
A-49 - Saída 1;Comarca Metropolitana de Sevilha
A-49 - Saída 1B;Comarca Metropolitana de Sevilha
A-49 - Saída 2;Comarca Metropolitana de Sevilha
A-49 - Saída 3;Comarca Metropolitana de Sevilha
A-49 - Saída 5;Comarca Metropolitana de Sevilha
A-49 - Saída 11;Aljarafe
A-49 - Saída 14;Aljarafe
A-49 - Saída 16;Aljarafe
A-49 - Saída 23;Aljarafe
A-49 - Saída 28;Aljarafe
A-49 - Saída 34;El Condado
A-49 - Saída 48;El Condado
A-49 - Saída 53;El Condado
A-49 - Saída 60;El Condado
A-49 - Saída 75;Comarca Metropolitana de Huelva
A-49 - Saída 81;Comarca Metropolitana de Huelva
A-49 - Saída 87;Comarca Metropolitana de Huelva
A-49 - Saída 94;Comarca Metropolitana de Huelva
A-49 - Saída 99;Comarca Metropolitana de Huelva
A-49 - Saída 105;Costa Occidental de Huelva
A-49 - Saída 113;Costa Occidental de Huelva
A-49 - Saída 117;Costa Occidental de Huelva
A-49 - Saída 122;Costa Occidental de Huelva
A-49 - Saída 125;Costa Occidental de Huelva
A-49 - Saída 129;Costa Occidental de Huelva
A-49 - Saída 131;Costa Occidental de Huelva
A-66 - Saída 790;Sierra Norte de Sevilha
A-66 - Saída 795;Sierra Norte de Sevilha
A-66 - Saída 798;Sierra Norte de Sevilha
A-66 - Saída 805;Aljarafe
A-66 - Saída 808;Comarca Metropolitana de Sevilha
A-8058 - Saída 0;Comarca Metropolitana de Sevilha
Aeroporto de Sevilha - San Pablo;Comarca Metropolitana de Sevilha
Antiga Estação de Isla Cristina - Pozo del Camino;Costa Occidental de Huelva
Ayamonte;Costa Occidental de Huelva
Barriada de Canela;Costa Occidental de Huelva
Bollullos Par del Condado;El Condado
Cartaya;Costa Occidental de Huelva
Centro Penitenciario de Huelva;Comarca Metropolitana de Huelva
Coria del Río;Comarca Metropolitana de Sevilha
Costa Esuri;Costa Occidental de Huelva
Cruzamento da A-376 com a SE-30;Comarca Metropolitana de Sevilha
Cruzamento da A-4 com a SE-20;Comarca Metropolitana de Sevilha
Cruzamento da A-4 Norte com a SE-30;Comarca Metropolitana de Sevilha
Cruzamento da A-4 Sul com a SE-30;Comarca Metropolitana de Sevilha
Cruzamento da A-4 Sul com a SE-40;Comarca Metropolitana de Sevilha
Cruzamento da A-49 com a H-31;Comarca Metropolitana de Huelva
Cruzamento da A-49 com a A-483;El Condado
Cruzamento da A-49 com a SE-30;Comarca Metropolitana de Sevilha
Cruzamento da A-49 com a SE-40;Aljarafe
Cruzamento da A-66 com a SE-30;Comarca Metropolitana de Sevilha
Cruzamento da A-92 com a SE-30;Comarca Metropolitana de Sevilha
Cruzamento da H-30 com a H-31;Comarca Metropolitana de Huelva
Cruzamento da N-431 com a N-444;Costa Occidental de Huelva
Cruzamento da SE-20 com a SE-30;Comarca Metropolitana de Sevilha
El Granado;El Andévalo
Gelves;Comarca Metropolitana de Sevilha
Gibraleón;Comarca Metropolitana de Huelva
H-31 - Saída 80;Comarca Metropolitana de Huelva
Isla Cristina;Costa Occidental de Huelva
Lepe;Costa Occidental de Huelva
Marismas de Isla Cristina;Costa Occidental de Huelva
Polígono Industrial de Ayamonte;Costa Occidental de Huelva
Ponte do Centenário;Comarca Metropolitana de Sevilha
Ponte de Alamillo;Comarca Metropolitana de Sevilha
Ponte Internacional do Guadiana;Costa Occidental de Huelva
Ponte Internacional do Baixo Guadiana;El Andévalo
Pozo del Camino;Costa Occidental de Huelva
Praia de Isla Canela;Costa Occidental de Huelva
Puerto de la Laja;El Andévalo
Punta del Moral;Costa Occidental de Huelva
Ronda Urbana Norte de Sevilha - Glorieta Berrocal;Comarca Metropolitana de Sevilha
Ronda Urbana Norte de Sevilha - Glorieta Olímpica;Comarca Metropolitana de Sevilha
Ronda Urbana Norte de Sevilha - Glorieta de San Lázaro;Comarca Metropolitana de Sevilha
Ronda Urbana Norte de Sevilha - Centro Deportivo Los Mares;Comarca Metropolitana de Sevilha
Ronda Urbana Norte de Sevilha - Pino Montano;Comarca Metropolitana de Sevilha
Ronda Urbana Norte de Sevilha - Poligono Calonge;Comarca Metropolitana de Sevilha
Ronda Urbana Norte de Sevilha - Poligono Store;Comarca Metropolitana de Sevilha
San Bartolomé de la Torre;El Andévalo
San Juan de Aznalfarache;Comarca Metropolitana de Sevilha
San Silvestre de Guzmán;Costa Occidental de Huelva
Sanlúcar de Guadiana;El Andévalo
SE-20 - Estádio de La Cartuja;Comarca Metropolitana de Sevilha
SE-20 - Parque de Alamillo;Comarca Metropolitana de Sevilha
SE-20 - San Jerónimo;Comarca Metropolitana de Sevilha
SE-30 - Saída 1;Comarca Metropolitana de Sevilha
SE-30 - Saída 3;Comarca Metropolitana de Sevilha
SE-30 - Saída 4;Comarca Metropolitana de Sevilha
SE-30 - Saída 5;Comarca Metropolitana de Sevilha
SE-30 - Saída 8;Comarca Metropolitana de Sevilha
SE-30 - Saída 12;Comarca Metropolitana de Sevilha
SE-30 - Saída 14;Comarca Metropolitana de Sevilha
SE-30 - Saída 15;Comarca Metropolitana de Sevilha
SE-30 - Saída 21;Comarca Metropolitana de Sevilha
SE-40 - Reinício;Comarca Metropolitana de Sevilha
SE-40 - Saída 19;Comarca Metropolitana de Sevilha
SE-40 - Saída 35;Aljarafe
Sevilha - Avenida Expo 92;Comarca Metropolitana de Sevilha
Sevilha - Parque de Alamillo;Comarca Metropolitana de Sevilha
Tariquejo;El Andévalo
Villablanca;Costa Occidental de Huelva
Villanueva de los Castillejos;El Andévalo
